title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,8.6,1214254.0,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
A River Runs Through It,movie,Drama,1992.0,7.2,67143.0,KR
Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003.0,6.3,425381.0,EE
Ocean's Thirteen,movie,"Crime, Thriller",2007.0,6.9,374404.0,"BE, CH, IT, SM"
Swimming Pool,movie,"Crime, Drama, Mystery",2003.0,6.7,49382.0,"BG, EE, GR, IS, LI, LT, LV, NL, PT, RO"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994.0,5.5,96627.0,"ES, KR, NZ"
Bruce Almighty,movie,"Comedy, Fantasy",2003.0,6.8,446510.0,"CA, US"
Mystic River,movie,"Crime, Drama, Mystery",2003.0,7.9,498021.0,"AD, BE, CH, ES, FR, GF, IT, LU, MC, PF, PT, SM"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,8.2,1101518.0,CA
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997.0,6.6,453967.0,CA
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001.0,5.9,348516.0,CA
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999.0,7.5,391626.0,"AD, ES, GB, GG, IE, PT"
Das Boot,movie,"Drama, War",1981.0,8.4,274577.0,"BE, DK, FI, LU, MT, NL, NO, SE"
Inside Man,movie,"Crime, Drama, Mystery",2006.0,7.6,407289.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
A Fistful of Dollars,movie,"Drama, Western",1964.0,7.9,240227.0,"IT, SM"
Chocolat,movie,"Drama, Romance",2000.0,7.2,205345.0,"BE, CA, NL"
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004.0,8.0,827649.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Basic Instinct,movie,"Drama, Mystery, Thriller",1992.0,7.1,227121.0,"AD, AE, AO, BH, CV, CY, DK, DZ, EG, ES, FI, GH, GQ, GR, HK, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LY, MA, MC, MZ, NG, NO, OM, PL, PS, PT, QA, SA, SC, SE, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Driving Miss Daisy,movie,"Comedy, Drama",1989.0,7.3,119772.0,KR
Summer in Berlin,movie,Drama,2005.0,6.9,3015.0,"AT, CH, DE"
The Pianist,movie,"Biography, Drama, Music",2002.0,8.5,949939.0,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
Schindler's List,movie,"Biography, Drama, History",1993.0,9.0,1499066.0,US
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,6.5,491350.0,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Sissi,movie,"Comedy, Drama, History",1955.0,7.0,10432.0,"AT, CH, DE"
Sissi: The Young Empress,movie,"Drama, History",1956.0,6.6,7622.0,"AT, CH, DE"
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957.0,6.6,6226.0,"AT, CH, DE"
Erin Brockovich,movie,"Biography, Drama",2000.0,7.5,229469.0,"AD, AL, BA, BG, CH, CZ, DZ, FR, GF, HR, HU, IN, IS, MA, MC, ME, MK, MU, PF, PK, PL, RO, RS, SI, SK, TN, US"
As It Is in Heaven,movie,"Comedy, Drama, Music",2004.0,7.5,18562.0,"DK, FI, NO, SE"
My Own Private Idaho,movie,Drama,1991.0,7.0,63769.0,JP
The African Queen,movie,"Adventure, Drama, Romance",1951.0,7.7,86064.0,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
The Seventh Seal,movie,"Drama, Fantasy",1957.0,8.1,204979.0,"DK, FI, NO, SE"
The Green Mile,movie,"Crime, Drama, Fantasy",1999.0,8.6,1460036.0,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, PT, QA, RO, RS, SA, SG, SI, SK, SM, TD, TH, TN, TW, UA, YE"
Reservoir Dogs,movie,"Crime, Thriller",1992.0,8.3,1118870.0,"GB, GG, GI, IE, MT"
Poseidon,movie,"Action, Adventure, Thriller",2006.0,5.7,112249.0,JP
Monster,movie,"Biography, Crime, Drama",2003.0,7.3,165932.0,KR
Marnie,movie,"Crime, Drama, Mystery",1964.0,7.1,55599.0,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GG, GT, HN, IE, JM, LC, MX, PA, PE, PY, SV, TC, UY"
Love Actually,movie,"Comedy, Drama, Romance",2003.0,7.6,554443.0,"AD, AE, AL, AU, AZ, BA, BE, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NL, NO, NZ, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, US, YE"
Notting Hill,movie,"Comedy, Drama, Romance",1999.0,7.2,357738.0,"AD, AU, BE, CH, ES, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, LU, MC, MY, NL, NZ, PF, PH, PK, SG, TH, TW, US"
One Flew Over the Cuckoo's Nest,movie,Drama,1975.0,8.7,1102920.0,"BA, ME, MK, RS"
Casino,movie,"Crime, Drama",1995.0,8.2,582579.0,"AU, IL, JP, KR, NZ"
Once Were Warriors,movie,"Crime, Drama",1994.0,7.9,37776.0,"AU, FJ, NZ"
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009.0,6.5,383378.0,"BE, DZ, IN, PK"
Flashdance,movie,"Drama, Music, Romance",1983.0,6.2,61210.0,"AZ, BY, LT, LV, UA"
Rashomon,movie,"Crime, Drama, Mystery",1950.0,8.2,186701.0,JP
Fight Club,movie,Drama,1999.0,8.8,2418346.0,PK
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002.0,7.4,908635.0,"AD, AE, AG, AL, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CL, CO, CR, CU, CY, CZ, DE, DO, DZ, EC, EG, ES, FR, GF, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KR, KW, LB, LC, LI, LU, LY, MA, MC, ME, MK, MT, MU, MX, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SI, SK, SV, TC, TN, TR, TT, US, UY, VE, YE"
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004.0,7.5,733788.0,"AD, AE, AL, BA, BE, BG, BH, CY, CZ, DZ, EG, ES, GR, HR, HU, IQ, JO, KR, KW, LB, LU, LY, MA, ME, MK, MT, OM, PL, PS, PT, QA, RO, RS, SA, SI, SK, TN, TR, US, YE"
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007.0,6.3,658405.0,"AD, AE, AG, AL, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CL, CO, CR, CU, CY, CZ, DE, DO, DZ, EC, EG, ES, GF, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KR, KW, LB, LC, LI, LU, LY, MA, ME, MK, MT, MX, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SI, SK, SV, TC, TN, TR, TT, US, UY, VE, YE"
Constantine,movie,"Action, Fantasy, Horror",2005.0,7.0,386265.0,"AD, AT, CH, DE, ES, FJ, HK, HR, ID, JP, KR, LI, LU, MY, PH, PK, PT, SG, TH, TW"
The Mummy,movie,"Action, Adventure, Fantasy",1999.0,7.1,475975.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Apollo 13,movie,"Adventure, Drama, History",1995.0,7.7,323041.0,US
The Birds,movie,"Drama, Horror, Mystery",1963.0,7.6,210927.0,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, PA, PY, SV, TC, UY"
Next Door,movie,"Mystery, Thriller",2005.0,6.4,10821.0,"DE, ES, GB, IT"
The Lives of Others,movie,"Drama, Mystery, Thriller",2006.0,8.4,422731.0,"AT, CH, DE, LI, LU"
